term,times_used,keep (yes/no),example_original,example_parakeet,example_qwen
BSD-3,1,,"The project depends on ChunkSeqReader, 8-byte, and BSD-3.","The project depends on chunk sec reader, eight byte and bsd three.","The project depends on chunkseg reader, 8byte, and BSD3."
bubble-cli,1,,"After switching from bubble-cli to Alternations, things improved.","After switching from bubble cloud to alternations, things improved.","After switching from bubble clay to alternations, things improved."
bubble-service,1,,"After switching from toolchain-related to bubble-service, things improved.","After switching from tool chain related to bubble service, things improved.","After switching from tool chain related to bubble service, things improved."
buf_ptr,1,,I'm having trouble getting DeserContext to work with buf_ptr.,I'm having trouble getting deser contacts to work with Both PTR.,I'm having trouble getting desert context to work with both PTR.
Buffer,1,,I configured Buffer to output web-ts format.,I configured buffer to output WebTS format.,I configured buffer to output WebTS format.
Buffers,1,,We use Buffers for the frontend and Soon for the backend.,We use buffers for the front end and soon for the back end.,We use buffers for the front end and soon for the back end.
BufferStats,1,,"We need zero-element for parsing, BufferStats for processing, and Avoid for output.","We need zero element for parsing, buffer stats for processing, and a void for output.","We need zero element for parsing, buffer stats for processing, and avoid for output."
BufferStuffing,2,,We replaced BufferStuffing with Dropping last week.,We replaced buffer stuffing with dropping last week.,We replaced buffer stuffing with dropping last week.
bugreport-format,1,,Have you tried bugreport-format before?,Have you tried bug report format before?,Have you tried bug report format before?
Build,1,,"After configuring AddArtifact with Build, I also added Implication.","After configuring Add Artifact with Build, I also added implication.","After configuring add artifact with build, I also added implication."
build-aware,1,,Can you add build-aware to the dependencies?,Can you add build aware to the dependencies?,Can you add build aware to the dependencies?
build-failure,1,,"The project depends on build-failure, Study, and --speaker.","The project depends on build failure, study and dash dash speaker.","The project depends on build failure, study, and dash dash speaker."
build-id,1,,"After configuring build-id with Literal, I also added full-width.","After configuring build ID with virtual, I also added full width.","After configuring build eyed with literal, I also added full width."
build-rule,1,,The database_track_uuid integration with build-rule is seamless.,The database track UID integration of the build rule is seamless.,"The database track, UAD integration with build rule is seamless."
build-shaped,1,,Can you check if build-shaped is compatible with im_start_token_id?,Can you check if build shaped is compatible with MSTart token ID?,Can you check if build shaped is compatible with imstart token ID?
build_id_entry,1,,The source-language module uses build_id_entry under the hood with multi-chunk for acceleration.,The source language module uses build ID entry under the hood with multi chunk for acceleration.,The source language module uses build_id entry under the hood with multi chunk for acceleration.
build_libpng,2,,I need to install build_libpng first.,I need to install build the bin first.,I need to install build living first.
build_script_rel,1,,Have you tried build_script_rel before?,Have you tried build script rel before?,Have you tried Build Script Rail before?
build_site,2,,"After configuring low-risk with build_site, I also added language-spec.","After configuring low risk with build site, I also added language spec.","After configuring low risk with build site, I also added language spec."
build_tree,1,,I'm having trouble getting deserializeState to work with build_tree.,I'm having trouble getting the zerialized state to work with Bill Tree.,I'm having trouble getting the serialized state to work with build tree.
BuildFailure,1,,"I set up BuildFailure, Fastest, and user-defined in the pipeline.",I set up build failure fastest and user defined in the pipeline.,"I set up build failure, fastest, and user defined in the pipeline."
BuildReport,1,,I configured ftrace_cpu_overrun_end to output BuildReport format.,I configure trace CPU over run to output build report format.,I configured trace CPU overrun end to output build report format.
Built-in,1,,"After configuring Self-Describing with Built-in, I also added prepare-commit-msg.","After configuring self describing with built in, I also added prepare commitment as G.","After configuring self describing with built in, I also added prepare commit msg."
built-in,1,,"After configuring prev_pid with built-in, I also added flags_for.","After configuring Prev Pit with built in, I also added flags for","After configuring PREF PIT with built-in, I also added flags for."
Builtins,1,,"The project depends on field3, Builtins, and mounts_mirror_ms.","The project depends on field three, built ins and mounts Miramus.","The project depends on Field 3, built-ins, and Mount Miramis."
bundle-name,1,,"After switching from bundle-name to --lib, things improved.","After switching from bundle name to dash dash lib, things improved.","After switching from bundle name to dash dash lib, things improved."
Bundling,1,,The field-by-field module uses queue_len under the hood with Bundling for acceleration.,The field by field module uses Q ln under the hood with bundling for acceleration.,The field-by-field module uses Q-Len under the hood with bundling for acceleration.
